Saddmun A.,/user_details?userid=5Ujzt9wasye05ZSxMgVhyA,"New York, NY",5/18/2017,4.0,No comment
Stephanie S.,/user_details?userid=a17UqKP56v6ppBNNWXH9iw,"New York, NY",9/25/2022,5.0,No comment,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Carmen S.,/user_details?userid=AWsCdLHkRD29AulVZ80mvA,"Miami, FL",9/19/2022,5.0,"Delicious! Definitely get the dry pot, it's a large serving and even if you select just five items it's enough for two. Vegan version of Mapo Tofu was also very good, I didn't feel like anything was missing by it being vegan. I was hoping for a softer, more moist white rice but that might just be a matter of preference - still a five star rating, honestly even if just for the dry pot.",https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Irene P.,/user_details?userid=M3dFwNnChCnSC-_rk3FBqQ,"San Jose, CA",10/16/2022,5.0,The food was really tasty but the best part of this restaurant was the ambience of the space and the great service. We came in a party of around 15 and had a great dining experience--would come here again!,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
David M.,/user_details?userid=uFHe0kL4MQPRoFLhzXtqiA,"New York, NY",11/27/2021,5.0,No comment,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Ingrid C.,/user_details?userid=2L8NIjhLxDTbfjzvHkoZHA,"Manhattan, NY",8/20/2022,5.0,"Ordered the string beans, pork belly, steamed egg & a whole fish. Everything was delicious and loved the ambiance!",https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Rosa J.,/user_details?userid=ORKSMYlnqpHbQyqxluuUmA,"New York, NY",7/9/2022,5.0,One of my favorite restaurants in NYC. All the servers were attentive and amazing. Terry was so nice and service was fantastic. Took my parents here and they loved the pork soup dumplings. If you like spice try the Yellow Beef. I'm a regular for the mapo tofu here. So good! Xiang River Fish was steamed to perfection and flavorful. Highly recommend!,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Rébecca E.,/user_details?userid=A7u7yFRiYKKUiNBQmRu72g,"New York, NY",1/20/2022,5.0,No comment,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Lia L.,/user_details?userid=0zAxGyNMeFW05yJ9X24VAg,"Fort Lee, NJ",3/26/2022,4.0,No comment,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Alex R.,/user_details?userid=AncvRQjxjbu4sFjnNcLL2Q,"New York, NY",8/25/2022,3.0,"I was excited to try this place but was sadly disappointed. It was buzzing for a Tuesday night. Decor has a retro vibe of a Shanghai speakeasy. We had Beef Brine Noodles Chengdu Spicy Wontons crispy shredded beef and fried rice with chicken .  Fried rice was our favorite. The wet noodles with bits of beef were a soggy mess and bland.  Crispy beef was definitely crispy with a sticky sweet sauce. Beef was chewy and had an unpleasant fryer oil aftertaste.  Spicy wontons were ok. The chili crisp was good and spicy but the wontons themselves had almost no filling which was disappointing.  We also had pan fried dumplings with pork to start . Were ok but ultimately forgettable.  Lastly , service was lacking despite staff dashing to expedite food. No one proactively refilled water or took away dishes until we asked .",https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Brad K.,/user_details?userid=r9jEEUE3_Dn49g9THLUlGw,"Rutherford, NJ",3/9/2023,3.0,"5 star vibes, 3 star food and service. Inordinate amount of dried chilis in my chicken dish.",https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Anisha P.,/user_details?userid=v22-qMuOfVTgwPMIm4-yLQ,"Manhattan, New York, NY",11/22/2021,4.0,"Was really craving some Sichuan last night. The decor and aesthetics here were so great! We ordered the husband wife special, mapo tofu and the yellow beef. The food was very tasty! I thought the yellow beef was a bit too salty for me, but still had great flavor to it! The service was very speedy! My favorite was definitely the mapo tofu! I'll be back soon!",https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Tom Y.,/user_details?userid=dDvzWN0YKcrvCT0p-RoRoQ,"Flushing, NY",12/22/2021,5.0,No comment,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Amy Yu T.,/user_details?userid=RwQUv7Cn61gTkPXcytSrSQ,"New York, NY",2/4/2022,5.0,No comment,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Bryan M.,/user_details?userid=ng5KPvydJEL6h303Gx8sNQ,"Grand Rapids, MI",5/20/2022,5.0,No comment,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Aly D.,/user_details?userid=1irgn10GCP2EGF4iNd4elg,"New York, NY",10/1/2022,5.0,"Really good Chinese food! I was super impressed by their food options! You can easily eat here as a vegetarian or someone who has a restrictive diet. The cabbage, bang bang noodles were great, chicken, and drinks were good. Everything was beautifully plated and aesthetically pleasing to the eye. Very well done! Would definitely come here again.",https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sharon K.,/user_details?userid=0-fqbJMTT_te3ROLH7_aFg,"Brooklyn, NY",1/3/2023,4.0,"Food was delicious. Highly recommend the mapo tofu! Even the drinks were well made. I have to give 4 stars though due to slow service. Despite making reservations for 2:30pm my party had to wait 5-10min to be seated. Then when when we were finally ready to order around 2:50pm for the lunch special the waitress didn't come by until 3:02pm (and we had to wave her down) to which she then told us ""sorry no more lunch special it ended at 3pm"". I mean cmon by 2min and we were ready to order long before. We tried to reason with her but she explained that the the system they use on their iPads automatically prohibit them from giving out the lunch special at 3pm. It's a little ridiculous imo and they should give some leeway to customers, especially in these situations when customers were on time for the lunch special.",https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sandy Y.,/user_details?userid=Ljnp0sSHaGmj9fnxcnBmAA,"New York, NY",8/19/2022,4.0,"Check in for a sweet, soothing chrysanthemum tea! We got a cocktail each and got an app and mala hot pot (5 ingredients). I would say it's what you expect when it comes to szezhuan dry hotpot... also the cocktails are strong and pretty decent.",https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Winsome C.,/user_details?userid=5_w6g2HT47xW_hn2d78Mlg,"Arverne, Queens, NY",8/18/2022,5.0,"If you check in on yelp, you get a free chrysanthemum ice tea. Food was good and great service. Would come back again!",https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Olivia E.,/user_details?userid=jBGpZ22bMIjgb-stggtIBQ,"Mount Vernon Triangle, Washington, DC",10/27/2022,5.0,"The signage outside the building is modest, but when you enter Blue Willow you are transformed from the bustling NYC streets to a calm, cozy space meant to bring people together. The menu seemed like a novel, page after page jam-packed with appetizing choices. The 7 of us decided on 8-10 dishes that came out promptly. The food was delectable and filling. The staff certainly seemed to care about their service. Would recommend this space for larger parties. The party rooms seemed so elegant.",https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Robert M.,/user_details?userid=iQxGJ-frqE9mn2INK6UEaA,"NJ, NJ",1/31/2023,5.0,"Great food, great vibes, great drinks. Even better experience. Just remember to take it easy on the spice.",https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Gordon C.,/user_details?userid=lpVDY-xmT_Tc6ciRMQDw1A,"Manhattan, NY",8/6/2022,4.0,No comment,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Kyler G.,/user_details?userid=RnkqeNGOXv9NKdlEvqLxvA,"Paris, France",3/3/2023,4.0,"Drinks so good, try the good fortune. Amazing service and ambiance, good music. seasoned.",https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Elvin L.,/user_details?userid=3aSuQaOZEaVRtf53UJpgKw,"San Francisco, CA",2/22/2022,5.0,No comment,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Giacomo C.,/user_details?userid=gpR3XkOEdw-PCJGUjhYcgQ,"New York, NY",4/27/2021,5.0,No comment,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
AL K.,/user_details?userid=ZiO2Wr41kZ4Vz64aheBFPQ,"Fairfax, VA",12/19/2021,5.0,Make reservations. Hipster vibe with Chinese food. One of the best I've tasted. Right amount of flavor and kick. Great service and nice ambiance. Outside seating  available. They check for vax status.,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Yukang T.,/user_details?userid=3aj6EW8_coD8PJIeRwq2Ig,"Los Angeles, CA",2/25/2023,5.0,best dry pot I've had in the neighborhood :) good atmosphere great for dates !!!!!!!!,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Kang I.,/user_details?userid=VBVnG-Kx-3cI1aQ1KLeFXg,"Manhattan, New York, NY",1/8/2023,5.0,Perfect place for any size of gathering! Really loved mapo tofu and dimsum from there. Great hospitality and neat restaurant,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Nicole J.,/user_details?userid=bijWimCxtNweKsDCYhPFAQ,"Manhattan, NY",1/28/2023,5.0,"Just had dinner, Terry served us, he was awesome and made really good recommendations.  Absolutely LOVED the century egg, but if you're not that adventurous, literally everything is good.  The appetizer wings, yellow beef, soup dumplings, salt n pepper shrimp, all amazing.",https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jingwen Z.,/user_details?userid=mqc4A1JgxAU3E5NbqZf_Vw,"New York, NY",11/29/2021,4.0,No comment,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Mariam M.,/user_details?userid=bBD2oknbAPYIcoPfKUXpXQ,"New York, NY",10/7/2022,5.0,No comment,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
David B.,/user_details?userid=AJ8aixoEpvJ9cGlA6TQ8Tg,"Miami, FL",12/18/2022,5.0,Excellent food at sort of high prices! Service was mediocre. Located in Manhattan on a busy street.,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sherry J.,/user_details?userid=BF2LSRonaqjNtWoKxH-s5g,"Miami, FL",5/10/2021,3.0,No comment,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Ting Z.,/user_details?userid=n2flxj261ZXQFnt8wy8koQ,"Brooklyn, NY",1/25/2022,5.0,"Very cool, old-timey vibe. Definitely authentic Chinese food. I particularly enjoyed the double cooked pork, spicy/sour fatty beef broth, and whole tilapia, but honestly everything was delicious. They also have some really good cocktails! My favorite is the Good Fortune. The portion sizes are a bit small for the price, but other than that, no complaints.",https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Celine L.,/user_details?userid=toHtrpv-7rWp0TjHfXsA0A,"Manhattan, New York, NY",4/1/2022,5.0,No comment,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Georgie P.,/user_details?userid=-LJKmauYKzQt17oB0sD_2Q,"Mendham, NJ",7/17/2022,5.0,"Best Soup Dumplings in town! We bring everyone that visits here. And don't even get me started on those Spicy Lady drinks. We love them, must go-to, you won't regret it!",https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Kris Y.,/user_details?userid=uZbG8iEcYmZnW9qbahj2tw,"New York, NY",5/1/2021,4.0,No comment,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Aaron I.,/user_details?userid=abI7ayesAAFmQ5eV6xjH7w,"Jacksonville, FL",12/10/2022,5.0,"This place is incredible from the moment you walk in! The decor is nice, the vibe of the restaurant is lively, the tea was on point, and the food was truly amazing! I had the garlic green beans which was the best I've ever had in my life. I then had the ginger steamed bass which was also flavorful. No complaints in anyway, HIGHLY RECOMMENDED!!!",https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Anni W.,/user_details?userid=X62VRywyNsjQwrkUSPLudQ,"Morganville, NJ",12/11/2021,5.0,No comment,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Tessa W.,/user_details?userid=D2pLTXn1-5am0nEjv8DGeQ,"Cedar City, UT",2/26/2023,5.0,"We ate there based on yelp reviews and we were not disappointed! The soup pork buns were crazy good!! And so was the gluten free Grandmas soup was incredible. The shrimp fried rice was solid, and the green beans were everyone's favorite. I will definitely eat here again.",https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Paul R.,/user_details?userid=Y-BGED5H76HryuIuvK-OLg,"The Gulch, Nashville, TN",7/19/2022,5.0,"Just awesome! Spicy and flavorful Chinese cuisine as can only truly be had on one of the coasts! Cool old-world ambience and crowd that knows and appreciates great Chinese food. Service was knowledgeable, attentive and on point. Double cooked pork, Hunan noodles, garlic green beans, fried dumplings and spicy garlic prawns were all excellent. Highly recommend!",https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jacob K.,/user_details?userid=z0IIRM9xnyAU5UMS33QMrA,"Queens, NY",9/4/2022,5.0,No comment,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
